date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:39	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d4cfca-5d1c5231af8b471e;gz%22	https://sterlingorthoivf.in/robots.txt		(from )
14:08:39	11928/11928	---M-Z	200	added ('OK')	text/html	etag:%222e98-663e8af2-5157151f0684f7c6;gz%22	https://sterlingorthoivf.in/	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/index.html	(from )
14:08:39	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-65ea4640-b975b685f88ca8b8;gz%22	https://sterlingorthoivf.in/favicon.ico	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/favicon.ico	(from https://sterlingorthoivf.in/)
14:08:39	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%223afe15e976734d9daac26310110c4594%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/My%20Web%20Sites/Hopsital/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://sterlingorthoivf.in/)
14:08:40	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Hopsital/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://sterlingorthoivf.in/)
14:08:40	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/My%20Web%20Sites/Hopsital/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://sterlingorthoivf.in/)
14:08:40	5432/5432	---M-Z	200	added ('OK')	text/css	etag:%221538-6637507c-7fd905a68cd2f96;gz%22	https://sterlingorthoivf.in/style.css	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/style.css	(from https://sterlingorthoivf.in/)
14:08:40	7990/7990	---M--	200	added ('OK')	image/png	etag:%221f36-66356925-c6a99ced26ece354;;;%22	https://sterlingorthoivf.in/logo.png	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/logo.png	(from https://sterlingorthoivf.in/)
14:08:40	7873/7873	---M-Z	200	added ('OK')	text/html	etag:%221ec1-6637dc33-b2dbba0b0f9459e2;gz%22	https://sterlingorthoivf.in/services.html	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/services.html	(from https://sterlingorthoivf.in/)
14:08:41	6465/6465	---M-Z	200	added ('OK')	text/html	etag:%221941-663e38ef-ba364212e0899e47;gz%22	https://sterlingorthoivf.in/doctors.html	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/doctors.html	(from https://sterlingorthoivf.in/)
14:08:41	9636/9636	---M-Z	200	added ('OK')	text/html	etag:%2225a4-663e8654-41a26cfccb698734;gz%22	https://sterlingorthoivf.in/gallery.html	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/gallery.html	(from https://sterlingorthoivf.in/)
14:08:41	6306/6306	---M-Z	200	added ('OK')	text/html	etag:%2218a2-66375ecd-50829b8ccec2beb0;gz%22	https://sterlingorthoivf.in/patient.html	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/patient.html	(from https://sterlingorthoivf.in/)
